date,1. open,2. high,3. low,4. close,5. volume
2020-08-19 15:09:00,485.86,486.24,485.86,486.21,2535.0
2020-08-19 15:08:00,485.7804,486.05,485.7804,485.8802,1469.0
2020-08-19 15:07:00,486.22,486.22,486.0532,486.0532,986.0
2020-08-19 15:06:00,485.845,486.185,485.72,486.03,2834.0
2020-08-19 15:05:00,486.285,486.36,485.92,485.92,4221.0
2020-08-19 15:04:00,486.13,486.5777,486.04,486.39,8400.0
2020-08-19 15:03:00,486.12,486.35,485.7743,486.04,6054.0
2020-08-19 15:02:00,486.32,486.52,485.93,486.26,6521.0
2020-08-19 15:01:00,486.4302,486.51,486.035,486.0772,6611.0
2020-08-19 15:00:00,486.795,486.795,486.33,486.6,4766.0
2020-08-19 14:59:00,486.6801,486.75,486.6801,486.73,2705.0
2020-08-19 14:58:00,486.48,486.94,486.464,486.805,6298.0
2020-08-19 14:57:00,486.53,486.55,486.34,486.47,6747.0
2020-08-19 14:56:00,486.41,486.5799,486.24,486.5799,5190.0
2020-08-19 14:55:00,486.24,486.24,485.93,486.1558,6424.0
2020-08-19 14:54:00,486.57,486.6068,486.32,486.32,3312.0
2020-08-19 14:53:00,486.415,486.49,486.33,486.38,3354.0
2020-08-19 14:52:00,486.2001,486.54,486.126,486.46,2843.0
2020-08-19 14:51:00,486.36,486.67,486.34,486.36,4239.0
2020-08-19 14:50:00,486.375,486.45,486.14,486.34,3113.0
2020-08-19 14:49:00,486.47,486.47,486.25,486.45,3032.0
2020-08-19 14:48:00,486.16,486.62,486.16,486.2856,2787.0
2020-08-19 14:47:00,486.27,486.27,486.05,486.24,4513.0
2020-08-19 14:46:00,485.64,486.32,485.64,486.32,3949.0
2020-08-19 14:45:00,485.44,485.48,485.22,485.39,2741.0
2020-08-19 14:44:00,485.86,486.17,485.37,485.61,5785.0
2020-08-19 14:43:00,486.34,486.34,485.82,485.86,3618.0
2020-08-19 14:42:00,486.01,486.38,486.01,486.23,2738.0
2020-08-19 14:41:00,485.975,486.3,485.87,486.07,3984.0
2020-08-19 14:40:00,485.96,486.23,485.96,486.0,3736.0
2020-08-19 14:39:00,485.89,486.0326,485.82,485.82,2371.0
2020-08-19 14:38:00,486.06,486.2498,485.65,485.86,3246.0
2020-08-19 14:37:00,485.78,485.78,485.51,485.51,3118.0
2020-08-19 14:36:00,486.24,486.4,485.96,485.96,3437.0
2020-08-19 14:35:00,485.985,486.58,485.98,486.44,6401.0
2020-08-19 14:34:00,485.94,486.235,485.9,485.95,6388.0
2020-08-19 14:33:00,485.66,485.83,485.4105,485.5901,8427.0
2020-08-19 14:32:00,485.445,485.69,485.0,485.4,5547.0
2020-08-19 14:31:00,485.4722,485.9,485.11,485.3,8778.0
2020-08-19 14:30:00,485.32,485.985,485.12,485.7573,5670.0
2020-08-19 14:29:00,486.21,486.21,484.96,485.15,11938.0
2020-08-19 14:28:00,485.97,486.03,485.66,485.77,7243.0
2020-08-19 14:27:00,485.96,486.24,485.89,486.11,4227.0
2020-08-19 14:26:00,486.085,486.1394,485.73,485.93,4959.0
2020-08-19 14:25:00,485.93,486.3,485.63,485.845,8631.0
2020-08-19 14:24:00,485.6,486.25,485.55,486.25,7939.0
2020-08-19 14:23:00,485.07,485.6755,484.87,485.6755,9206.0
2020-08-19 14:22:00,485.44,485.44,484.5601,485.105,24048.0
2020-08-19 14:21:00,486.55,486.615,485.36,485.49,22339.0
2020-08-19 14:20:00,486.88,487.0,486.4,486.58,10828.0
2020-08-19 14:19:00,487.0,487.15,486.86,486.93,6347.0
2020-08-19 14:18:00,487.27,487.31,486.89,487.0,6938.0
2020-08-19 14:17:00,487.509,487.509,487.135,487.435,5930.0
2020-08-19 14:16:00,487.565,487.91,487.565,487.6,3524.0
2020-08-19 14:15:00,487.52,487.77,487.35,487.35,5750.0
2020-08-19 14:14:00,488.125,488.18,487.925,487.99,3749.0
2020-08-19 14:13:00,488.1,488.3602,488.0,488.14,4889.0
2020-08-19 14:12:00,488.5382,488.5382,488.21,488.28,1677.0
2020-08-19 14:11:00,488.75,488.75,488.27,488.27,4243.0
2020-08-19 14:10:00,488.52,488.9793,488.52,488.8,3509.0
2020-08-19 14:09:00,488.1595,488.54,488.1595,488.4,3217.0
2020-08-19 14:08:00,488.9,488.91,488.0,488.0,5467.0
2020-08-19 14:07:00,489.1,489.14,488.81,488.93,6944.0
2020-08-19 14:06:00,489.94,490.03,489.04,489.2,15468.0
2020-08-19 14:05:00,489.9786,490.12,489.85,489.85,5780.0
2020-08-19 14:04:00,489.82,490.009,489.82,489.9353,3228.0
2020-08-19 14:03:00,489.73,489.845,489.725,489.845,1587.0
2020-08-19 14:02:00,489.61,489.865,489.48,489.785,4208.0
2020-08-19 14:01:00,489.735,489.79,489.631,489.68,1101.0
2020-08-19 14:00:00,489.7741,489.9,489.7466,489.7466,1619.0
2020-08-19 13:59:00,489.755,489.755,489.755,489.755,632.0
2020-08-19 13:58:00,489.795,489.8,489.795,489.8,658.0
2020-08-19 13:57:00,489.665,489.78,489.665,489.78,1434.0
2020-08-19 13:56:00,489.78,489.82,489.67,489.67,2344.0
2020-08-19 13:55:00,489.72,489.9,489.72,489.795,3083.0
2020-08-19 13:54:00,489.91,490.05,489.8,489.8,3662.0
2020-08-19 13:53:00,489.75,489.926,489.735,489.87,2614.0
2020-08-19 13:52:00,489.91,489.95,489.76,489.76,3024.0
2020-08-19 13:51:00,489.96,490.035,489.925,490.035,1339.0
2020-08-19 13:50:00,490.02,490.11,489.94,489.96,1799.0
2020-08-19 13:49:00,490.01,490.18,489.89,489.98,2118.0
2020-08-19 13:48:00,490.415,490.52,490.13,490.13,2905.0
2020-08-19 13:47:00,490.45,490.45,490.2601,490.4224,2373.0
2020-08-19 13:46:00,490.4411,490.49,490.3574,490.49,2012.0
2020-08-19 13:45:00,490.38,490.59,490.38,490.415,2937.0
2020-08-19 13:44:00,490.31,490.49,490.1703,490.355,2382.0
2020-08-19 13:43:00,490.56,490.56,490.2417,490.3,3747.0
2020-08-19 13:42:00,490.52,490.68,490.43,490.48,4696.0
2020-08-19 13:41:00,490.42,490.57,490.32,490.5126,4506.0
2020-08-19 13:40:00,490.21,490.5,490.2,490.5,6979.0
2020-08-19 13:39:00,490.17,490.3018,490.06,490.2,5325.0
2020-08-19 13:38:00,490.24,490.29,490.065,490.19,4890.0
2020-08-19 13:37:00,489.86,490.0443,489.86,490.0443,3829.0
2020-08-19 13:36:00,489.79,490.0,489.63,489.77,4782.0
2020-08-19 13:35:00,489.93,489.93,489.68,489.88,3069.0
2020-08-19 13:34:00,489.8335,489.9,489.75,489.84,1434.0
2020-08-19 13:33:00,489.9394,489.9466,489.862,489.862,1958.0
2020-08-19 13:32:00,489.72,490.07,489.72,490.07,11656.0
2020-08-19 13:31:00,489.7827,489.7827,489.6,489.75,2237.0
2020-08-19 13:30:00,489.765,489.7731,489.765,489.7731,1806.0
2020-08-19 13:29:00,489.49,489.7592,489.49,489.71,3134.0
2020-08-19 13:28:00,489.68,489.7,489.33,489.52,5460.0
2020-08-19 13:27:00,489.8,489.83,489.685,489.705,1973.0
2020-08-19 13:26:00,489.6,489.7826,489.6,489.685,3850.0
2020-08-19 13:25:00,489.7274,489.79,489.161,489.44,7333.0
2020-08-19 13:24:00,489.275,489.71,489.275,489.71,6498.0
2020-08-19 13:23:00,489.15,489.29,489.09,489.2,4382.0
2020-08-19 13:22:00,488.93,489.39,488.93,489.07,10857.0
2020-08-19 13:21:00,488.52,489.0,488.52,488.9282,8414.0
2020-08-19 13:20:00,488.48,488.625,488.37,488.575,2037.0
2020-08-19 13:19:00,488.45,488.475,488.37,488.475,989.0
2020-08-19 13:18:00,488.2638,488.55,488.26,488.42,3488.0
2020-08-19 13:17:00,488.12,488.313,488.12,488.2601,2016.0
2020-08-19 13:16:00,488.21,488.21,488.0,488.14,3418.0
2020-08-19 13:15:00,488.251,488.251,488.11,488.2,1414.0
2020-08-19 13:14:00,488.06,488.28,487.995,488.266,3341.0
2020-08-19 13:13:00,487.96,487.9935,487.8,487.9935,2628.0
2020-08-19 13:12:00,487.88,487.985,487.88,487.985,1471.0
2020-08-19 13:11:00,488.0172,488.0172,487.76,487.76,1297.0
2020-08-19 13:10:00,488.08,488.08,487.97,487.97,2305.0
2020-08-19 13:09:00,487.99,488.1,487.99,488.1,2337.0
2020-08-19 13:08:00,488.11,488.2,487.93,487.9887,5767.0
2020-08-19 13:07:00,488.18,488.18,488.1,488.1,1313.0
2020-08-19 13:06:00,487.86,488.19,487.86,488.08,1840.0
2020-08-19 13:05:00,487.73,488.04,487.73,487.95,2888.0
2020-08-19 13:04:00,487.73,487.7896,487.5612,487.65,2618.0
2020-08-19 13:03:00,487.87,487.9199,487.67,487.88,3563.0
2020-08-19 13:02:00,487.979,487.979,487.975,487.975,907.0
2020-08-19 13:01:00,488.14,488.14,487.87,488.05,3846.0
2020-08-19 13:00:00,488.225,488.225,488.22,488.22,1095.0
2020-08-19 12:59:00,488.685,488.685,488.37,488.37,1802.0
2020-08-19 12:58:00,488.42,488.77,488.42,488.63,2950.0
2020-08-19 12:57:00,488.98,488.98,488.1,488.43,6282.0
2020-08-19 12:56:00,489.035,489.14,488.88,488.92,4093.0
2020-08-19 12:55:00,489.39,489.39,488.81,489.02,5726.0
